id,contact_id,reference_id,amount_due,as_of_date,age_days,age_bucket,entity_type
1a2ccb23-de45-49bf-9674-4db1f9b20595,8c104193-5a04-40c1-9868-8f62355a4de8,ab77639a-5334-41e2-a742-59a8605e3f2f,6200,2026-06-18,74,61-90 Days,Customer
6024b088-e342-4069-b7e2-c745bdde6788,9afccd26-29ec-49e6-a7e3-cc474a13274b,663545fa-b7ba-4751-88ed-665b9147c6b0,1038000,2026-06-18,616,90+ Days,Customer
5b18e434-3f95-49b3-9b05-5a0adc046c5f,cf121604-4741-4796-857c-55d8be0de39a,cfcdd083-2529-4b56-bac5-3dbe3ee59a89,18000,2026-06-18,53,46-60 Days,Customer
dba31dd9-5f46-407a-a086-2da6102f28ce,ba202cd1-1a40-4147-b679-0ece50f6be0a,7c4ee7b9-def2-476a-9274-b5598d185ec3,477550,2026-06-18,60,46-60 Days,Customer
e0fce5f0-9960-4642-bdaf-77c638f45f95,ee050b45-8c17-4d06-ba05-a7f64ed04dab,f06cf78d-02e4-4223-a7f5-3fd69f7db19e,1127499,2026-06-18,496,90+ Days,Customer
b9b84a71-6331-4129-9c9f-0b2b1031c153,71be3019-2872-4e46-9e8f-941663554ca2,a0b08fd1-20f2-4897-8210-dfd16ef62846,1110000,2026-06-18,581,90+ Days,Customer
4f5761aa-0e6c-4a81-87e0-d799dd27eaea,cf35118b-bee6-44e5-8011-470d64b8d0fc,7fe1b10a-4c01-42ad-b9a4-143b158c4241,1106250,2026-06-18,246,90+ Days,Customer
058ad70d-3871-43d0-bc7c-01b4731907de,d5cfc9ca-e095-4816-8888-c0cd5c1bc4e1,cf516246-fe64-42db-b377-80834f6be9f5,1095000,2026-06-18,458,90+ Days,Customer
95ec5bf0-7666-46ad-b2f2-a7d0d4c8b499,7048623d-7a72-46d8-957d-95ee5ed6799c,e86fc6e4-9bfb-48b8-b273-48345f7dd62d,1800,2026-06-18,106,90+ Days,Customer
229b8150-ce72-461f-9b3a-ab4d747a2918,1212e5df-2191-4eea-862f-248bb96835d6,836e4743-39d0-42f7-acff-a8a66627456f,376000,2026-06-18,62,61-90 Days,Customer
19188990-ce49-4a3e-a734-e4015e4ecfe4,c6e017b2-c27d-4969-95de-8284a705a232,b7a23919-c1eb-427c-9b10-1f7faf1a891f,567000,2026-06-18,94,90+ Days,Customer
b65223c3-d265-4464-a182-f59053994bda,ef173824-236e-4589-af6a-5bd7edb0e89f,cd2e1589-dacf-4b90-ab21-f3e1111f350e,1648000,2026-06-18,74,61-90 Days,Customer
0cc4a700-fca5-4d11-b9d0-20bed221686f,87bffc9a-c1ea-4b52-88c7-fe3347a493d7,427c8eec-bd2b-4513-ac53-6ae583fc0d3e,2400,2026-06-18,53,46-60 Days,Customer
e4e80127-a960-4b1d-a944-9d43a96e8027,ef173824-236e-4589-af6a-5bd7edb0e89f,3e4b5d2c-3985-4f6b-863c-79c48a2369b9,1536000,2026-06-18,149,90+ Days,Customer
0c992081-49bb-40c9-949f-31dacbfc463f,7278af2d-7018-4d13-bb4d-1b35f4307714,00197808-e4f2-45e6-b986-d9165b3ca0db,1440000,2026-06-18,163,90+ Days,Customer
35b64fef-3fa7-4e5d-a155-f59dd166223a,4b5902bf-67f1-4e06-8882-ca516c1842db,5897a2c7-aad8-443c-827f-d9ac50f64f4d,1369250,2026-06-18,216,90+ Days,Customer
4f67cff5-67bc-427c-bfe4-a5bccb0291b4,e99e6ca5-a4bb-4343-a635-49f04389ca2a,cfc9c3f3-6c39-4d83-a1cb-a7fd6a99f39d,1260000,2026-06-18,277,90+ Days,Customer
c10c27ba-6d64-4a43-8b5e-5d17e58d14a7,628bcaf4-621f-4082-9aff-5ac50eb5f547,32cbccee-5bdd-44b8-94ad-c1b4ce12c303,447500,2026-06-18,106,90+ Days,Customer
97636903-729d-4ec3-9fc3-776cbd60f7af,c6e017b2-c27d-4969-95de-8284a705a232,a2a7d802-e67a-45d4-bb2e-8bd8f80df4b3,265600,2026-06-18,94,90+ Days,Customer
23d4fc3d-6ea7-4060-8b61-c44ae273308f,831c411d-fe4b-4063-9964-7eff24d5feb3,e715ca35-8807-4c08-9afe-34d05b030803,324000,2026-06-18,60,46-60 Days,Customer
1a7e218e-be06-49c1-a75d-587877d9afc8,3f57352d-df9b-4863-bdf6-4e7a6f5e5f20,55263633-8fed-47f9-b08a-c578bf7601e4,6000,2026-06-18,74,61-90 Days,Customer
1f02462c-48ef-48b0-9a3b-2055c276f01c,71be3019-2872-4e46-9e8f-941663554ca2,3b576f53-b944-46a2-a04d-64816b88fafd,552773,2026-06-18,53,46-60 Days,Customer
b7724d0a-243a-4855-9e1f-bfa09b3f44e9,e99e6ca5-a4bb-4343-a635-49f04389ca2a,49a47f0f-11d9-439d-84a3-2e087d4764cb,1028606,2026-06-18,283,90+ Days,Customer
5b335797-d0fe-4a55-b0f2-627528e575a1,f3df996d-b48b-4239-8bf1-1e46b44fabd6,8a33b8ca-29f2-478b-9899-81cbe1e4fbb9,1019200,2026-06-18,205,90+ Days,Customer
d2ec59b5-efb5-428c-8e33-15654c5028ab,ee050b45-8c17-4d06-ba05-a7f64ed04dab,b201d3db-72bf-4742-bfc1-4800c39a899c,1007499,2026-06-18,420,90+ Days,Customer
336c3265-f530-4611-a529-dbab682cd957,f3df996d-b48b-4239-8bf1-1e46b44fabd6,694a97ad-7b84-4ecc-a1cf-10e907ab7013,960000,2026-06-18,177,90+ Days,Customer
096d31b2-795e-47c7-9453-b62871314c73,b68482aa-3798-4bc4-96c2-ae22f9e1f162,41c6f636-8d56-4e7d-a27c-9c749451f289,270250,2026-06-18,521,90+ Days,Customer
9427534b-69a4-4bcf-a8b0-cf940d875a9f,add3d1ff-35de-4335-a95b-9db45afafaaa,f68c8617-553d-4f7e-9457-2877fe85ed80,313250,2026-06-18,106,90+ Days,Customer
10ce5f1d-cbb1-486b-bdbb-41b9186b47cf,71be3019-2872-4e46-9e8f-941663554ca2,e8db5bf2-419c-4aec-a905-70bde13be486,732850,2026-06-18,749,90+ Days,Customer
aca6dbaf-5449-4aef-8e0c-bb7657ca7195,71be3019-2872-4e46-9e8f-941663554ca2,8d5fa8f4-3dd1-44d2-bd60-dc8f6a969d69,493875,2026-06-18,679,90+ Days,Customer
cf56cc09-f394-4c41-b994-865002e07987,31ba490b-d257-4dcd-8a73-9e4fb49e1359,37e4b3f0-7dee-4c25-8c29-5cfbd4ad94c2,438499,2026-06-18,156,90+ Days,Customer
ba3bc9ed-b08e-40b5-a254-2fb6f9f80582,fdf56cc8-2c66-486d-ae8f-8f48c5a28b0c,6b0f5e6d-670d-499f-a08e-06d0145f1829,1790,2026-06-18,94,90+ Days,Customer
38673800-a95a-4938-9dc5-e9f8d02da1a3,71be3019-2872-4e46-9e8f-941663554ca2,0302dc41-0b34-495e-8408-f48a8438c114,8387,2026-06-18,676,90+ Days,Customer
a1da7cc7-ff52-4632-94ff-209679de7b2f,71be3019-2872-4e46-9e8f-941663554ca2,921c406f-18f0-4239-9fba-7c1be2310596,455000,2026-06-18,74,61-90 Days,Customer
019d1ddb-af05-4c8f-839a-6354ee96e04d,46259c13-632d-449f-a96f-f1deab0e0046,cc20abca-8ed2-4184-8bb9-ff171c63abc5,257055,2026-06-18,53,46-60 Days,Customer
5fc419f5-ad1b-4175-b786-470f3e2a93a6,7278af2d-7018-4d13-bb4d-1b35f4307714,8f7375b6-dd1c-486b-bb28-7e0197bc8019,1515000,2026-06-18,126,90+ Days,Customer
73d83204-2376-4167-a611-29786e146d25,ef173824-236e-4589-af6a-5bd7edb0e89f,5a34cec0-cbad-46d2-b1b7-f54f01a5f499,1545700,2026-06-18,165,90+ Days,Customer
8ca08504-a87d-488f-a36b-d8aeb1eeaaa3,3f57352d-df9b-4863-bdf6-4e7a6f5e5f20,f96aa88f-745d-45f9-b664-0f2987cfc91e,5600,2026-06-18,94,90+ Days,Customer
4c80728f-0bf0-4a56-99ef-4a087b5768e4,71be3019-2872-4e46-9e8f-941663554ca2,92350eb6-917e-4682-9618-10856f9bd5ca,592500,2026-06-18,711,90+ Days,Customer
8f71a830-acdf-46cd-b2eb-22119de6a7e9,71be3019-2872-4e46-9e8f-941663554ca2,3daf3224-e585-4c65-95f2-894a5c085c13,534000,2026-06-18,695,90+ Days,Customer
0317ea08-de0b-44b3-8471-fd04311a1a81,71be3019-2872-4e46-9e8f-941663554ca2,c788c824-916c-42a3-9cd6-4e03b258dc6c,393194,2026-06-18,720,90+ Days,Customer
93564089-4908-4999-a1aa-12d493008f95,71be3019-2872-4e46-9e8f-941663554ca2,c027f01e-1b69-4b67-8e5a-12d5315ccb44,302500,2026-06-18,74,61-90 Days,Customer
951e16d6-97f6-4d56-b673-f7be3d154e79,46259c13-632d-449f-a96f-f1deab0e0046,15210e8e-faf3-4f16-9cc7-f0979ed2bc12,114800,2026-06-18,170,90+ Days,Customer
f81f7816-d12a-421a-8282-2504c3433ab0,71be3019-2872-4e46-9e8f-941663554ca2,0409d556-4d12-4118-b99c-94aeaba5d2c6,98400,2026-06-18,679,90+ Days,Customer
4e54c605-32c9-47f5-9d91-7de749d928e2,d11168e8-0acb-4143-82e4-419e25634be8,27b9ea70-a2eb-45a9-a5f8-e71ce792b699,153600,2026-06-18,655,90+ Days,Customer
3ae766f2-12fc-4e3e-b8e7-9fc00749c6a5,71be3019-2872-4e46-9e8f-941663554ca2,6aaee437-a796-42f5-86b0-27516ec2f898,128325,2026-06-18,694,90+ Days,Customer
388f9c4e-b678-471a-b9e4-1fcbd9ed8d51,4b5902bf-67f1-4e06-8882-ca516c1842db,3bc06a9f-eb20-48a3-a41a-843b45c4a32c,695000,2026-06-18,53,46-60 Days,Customer
8bdc00a0-f7bb-451b-bcd3-7238ee15129e,71be3019-2872-4e46-9e8f-941663554ca2,0f8bfd3d-8901-4afd-a68d-87b059b56d62,918750,2026-06-18,469,90+ Days,Customer
0f966846-92f3-4829-bbb4-f73e7d10e266,fdf56cc8-2c66-486d-ae8f-8f48c5a28b0c,294fec58-045b-444c-80a7-fb73a7b0bced,4200,2026-06-18,62,61-90 Days,Customer
55a3da52-2a8d-4de8-9a63-bd5c975748db,8f06ff88-5db5-47ec-b27f-af2ef21de406,d0bc4de8-8de2-4d5a-9112-a1d6973d490c,268500,2026-06-18,106,90+ Days,Customer
29c788df-b8ad-4fa8-9619-1ed0f72b5f5d,f339fea8-85c3-46ca-9d61-5a3dcbbb1b85,cd9adb7b-3740-4219-9ce2-1f61482baddb,191000,2026-06-18,240,90+ Days,Customer
33291965-cc42-4c06-a757-eccfee9cf504,2df9cb4d-3931-42d6-b71e-03529a9850cb,6d2eb58c-86c4-418d-8d95-3d1cb7179a37,1800,2026-06-18,94,90+ Days,Customer
f06df015-4a36-4118-80c5-f0808abfc3d1,c10c3408-1a47-464d-9517-5024fa2d007d,62360e50-e88d-4e07-b11e-10adf11f3086,133850,2026-06-18,545,90+ Days,Customer
458ec3ab-feda-40b3-8b38-b418ebe0a8e0,71be3019-2872-4e46-9e8f-941663554ca2,5410dcbb-7298-435d-ba4a-8f0e77783795,72000,2026-06-18,745,90+ Days,Customer
58ced36f-d418-4a56-abb0-677cbca93ccc,f1e51592-40e6-4c0e-ba12-f1e4bfda0f43,14339868-124c-42dc-bdd1-c044e2e1166d,232500,2026-06-18,74,61-90 Days,Customer
38bbc64b-1baf-4141-b498-588555d400d5,fdf56cc8-2c66-486d-ae8f-8f48c5a28b0c,c3befa23-cf68-45f6-87c9-ec185d941edf,8000,2026-06-18,52,46-60 Days,Customer
13c6d911-7d8b-497e-bc5f-458d8f3fe169,71be3019-2872-4e46-9e8f-941663554ca2,cbc3fcc3-7e24-4e12-a707-9cbec010f18d,922499,2026-06-18,529,90+ Days,Customer
749e743a-a552-40b2-83d6-07972ccd018d,6e294634-9504-4be4-960e-df2f3ae4b416,fd8a300f-2ebd-4024-94d2-d2b8fe7b72ba,575000,2026-06-18,412,90+ Days,Customer
fb71a88f-ad49-4a64-b1ac-14c871122afc,71be3019-2872-4e46-9e8f-941663554ca2,a0439994-4133-446c-8e50-3a1ab486ba90,225781,2026-06-18,718,90+ Days,Customer
23f0df00-b0a4-4a23-92c9-46995be00ec1,d11168e8-0acb-4143-82e4-419e25634be8,46c37aeb-067a-421c-94ac-94c2e28d0037,96000,2026-06-18,651,90+ Days,Customer
3bfe4025-84fa-4d90-a6bf-fdcadb0aba73,71be3019-2872-4e46-9e8f-941663554ca2,c77064f3-e7ca-49d0-ad30-88c23c15f072,117000,2026-06-18,736,90+ Days,Customer
455fae60-317a-4590-ab54-4ec84277dbb2,fdf56cc8-2c66-486d-ae8f-8f48c5a28b0c,a318c76b-6c7a-463f-b9ce-ed7051b0a502,1450,2026-06-18,52,46-60 Days,Customer
770b133b-a7a8-4584-9b5b-1b52927456ed,99654bf2-99d2-4963-a48f-35d1eacc4352,c8a08167-cdb5-4f38-8e97-d9433f4becc4,1132800,2026-06-18,93,90+ Days,Customer
e3d88d89-6d7f-4b32-b067-09a310c2b9d1,46259c13-632d-449f-a96f-f1deab0e0046,36e76f75-c02c-4f5e-9461-da8b5a61f4ff,150000,2026-06-18,74,61-90 Days,Customer
6618555e-9144-4a03-a009-2e9e4abc2422,ee050b45-8c17-4d06-ba05-a7f64ed04dab,ce9e88f5-8d40-40d5-b02c-536d8ca6eb19,914999,2026-06-18,597,90+ Days,Customer
8c93c3ad-49dd-4e30-b904-630f2c0aed8e,ee050b45-8c17-4d06-ba05-a7f64ed04dab,bf914d25-bdc3-4d2a-afba-91679e682684,915000,2026-06-18,771,90+ Days,Customer
f0245426-aec4-40f0-b8f6-7abd725efad0,13434759-d4fc-4dc9-ad3b-480ab7211da2,873aaec4-718d-4f68-aee0-2f8c37bcaaec,633300,2026-06-18,106,90+ Days,Customer
076da812-a2a1-45a6-be01-b21fcbe6810a,71be3019-2872-4e46-9e8f-941663554ca2,86e6d10e-2e79-4742-8559-b22ce9310427,511850,2026-06-18,697,90+ Days,Customer
a456ac04-68fb-4149-bdef-03ffee7d814b,7e5b18e4-acb0-4a74-ad1d-f25958d7de14,65b59457-a99c-4ae8-b33c-2203f600a065,63625,2026-06-18,270,90+ Days,Customer
1028bc25-e94c-4f3c-a5c7-715231f96892,7278af2d-7018-4d13-bb4d-1b35f4307714,f6ada6ed-db04-4dc9-90b8-3dbe6fa026a6,1617100,2026-06-18,93,90+ Days,Customer
8516e2a8-e4e4-463e-8a3d-246a4705864d,4ef83a84-e315-4f3e-94e1-511f936e9e34,85c18c2e-4e5d-4024-b1cf-aa69085ffde9,231500,2026-06-18,522,90+ Days,Customer
58c10aa5-2fc2-46c0-9b5a-5121aab1ba4d,46259c13-632d-449f-a96f-f1deab0e0046,e0232cd6-d724-4fc8-b85a-7c3707b61399,100000,2026-06-18,74,61-90 Days,Customer
bc78deba-f5cc-4a53-bec8-c2356ad5c123,c62ed87b-e442-4815-a36e-6b634e3628f1,dea6e479-4a87-4ea5-b773-f53ac85fee29,84200,2026-06-18,590,90+ Days,Customer
c7de32d1-ddd2-4ae7-b97e-fc23b55efa3b,2df9cb4d-3931-42d6-b71e-03529a9850cb,5a8913b1-575c-47fc-9498-54563d773387,3383,2026-06-18,52,46-60 Days,Customer
d1e36e1c-9d5c-4fe3-99b8-186ce46f1594,628bcaf4-621f-4082-9aff-5ac50eb5f547,9eb016de-7668-477d-8650-331a3e96bd14,447500,2026-06-18,105,90+ Days,Customer
ef76f74b-8ac0-409a-a2e7-d70c93d34a19,71be3019-2872-4e46-9e8f-941663554ca2,41174dbe-d916-46fc-a3d1-f72cb557463c,179000,2026-06-18,93,90+ Days,Customer
6d5cc216-b5f7-42a1-b5ac-013591315645,71be3019-2872-4e46-9e8f-941663554ca2,61ba4f4e-c10f-41e8-8a72-6ed0ae16dcef,217500,2026-06-18,52,46-60 Days,Customer
db253b86-d507-4779-b3c9-a4e57e8ac889,81ac38e2-4f65-4e63-9f47-e21d96b7a523,4c8d156f-14ef-4c21-89c0-b3bcdeb809b3,54190,2026-06-18,74,61-90 Days,Customer
1bf7a2f2-cff9-45b5-8099-b6bab358a625,71be3019-2872-4e46-9e8f-941663554ca2,ad130e58-3dbf-46ef-9f4a-89e3435d3a4d,918750,2026-06-18,464,90+ Days,Customer
2801a743-46cc-42c1-8261-56e8e3a491b0,46259c13-632d-449f-a96f-f1deab0e0046,cbed194d-e2c8-4f5f-bf41-6c8b4a2c4907,400000,2026-06-18,105,90+ Days,Customer
5404381a-57f1-42ee-95f4-597040c8bfdb,ef173824-236e-4589-af6a-5bd7edb0e89f,87d70d51-ceab-4bb7-8492-1cd7f367d445,1648000,2026-06-18,60,46-60 Days,Customer
73fdf72c-dff9-412e-beaf-4bb7e268974d,71be3019-2872-4e46-9e8f-941663554ca2,ad982cd3-0d39-48fc-80aa-ac7b25837cdb,244500,2026-06-18,93,90+ Days,Customer
26b457a8-91b7-4d5e-bae4-240f475452ae,71be3019-2872-4e46-9e8f-941663554ca2,b229887b-3ed9-44bc-9a43-1297d8851248,323000,2026-06-18,685,90+ Days,Customer
69c3d37b-1a38-4d51-8d1a-8328416789fd,d604343c-0482-49ed-80ec-28e4aa0c3fd4,e0e9bf46-280a-40ed-8c93-925ec42d05df,59999,2026-06-18,588,90+ Days,Customer
a19d952f-9bec-4103-ad6d-5910240a9ddd,71be3019-2872-4e46-9e8f-941663554ca2,1b9419f5-2198-429f-a895-e7d996c166e3,766850,2026-06-18,352,90+ Days,Customer
7e7ff9fc-73d4-4b27-84ad-23e1c9b8d5e3,6bc20676-6cd9-4bd5-b300-2a44c353db98,06ca9013-0612-46e5-b722-7ecb5c8b8296,51000,2026-06-18,581,90+ Days,Customer
843fa974-728a-4371-9858-ae9bf642d2e1,95c5d920-3701-494c-b8ec-568a66ffc4ad,b28e500e-6412-4ffa-b68d-168c1a1a9df1,179000,2026-06-18,105,90+ Days,Customer
a15ac4a5-4fc7-45ff-8354-7349024bd512,99654bf2-99d2-4963-a48f-35d1eacc4352,3b268f6f-2c94-4ca8-8dab-f0ba97474f5d,1212500,2026-06-18,50,46-60 Days,Customer
9087ad96-f139-410d-b8df-0b6243d52be6,2df9cb4d-3931-42d6-b71e-03529a9850cb,9457ab88-c5f5-4ffc-818d-29a3387b8ae9,2990,2026-06-18,93,90+ Days,Customer
7beb2615-f383-4b22-8830-72334d4ee8f4,d4686b2c-519c-4f5f-9839-c125dddade95,8d07231f-3ef9-477a-86d8-da64791134ba,665200,2026-06-18,310,90+ Days,Customer
754fd6de-e03d-492a-979f-cc11edc194c6,2df9cb4d-3931-42d6-b71e-03529a9850cb,e9cbad97-85d0-4d1b-8d7b-d72a9271f3d9,3600,2026-06-18,73,61-90 Days,Customer
e2af2681-5310-48cc-b614-517598ed4bdc,71be3019-2872-4e46-9e8f-941663554ca2,aac0aa22-e1f0-452d-8e4f-9d4ba5d084ca,34320,2026-06-18,738,90+ Days,Customer
0782e84b-5b5f-4ddf-86fb-81a5147db48b,a94cb79c-06ac-4336-8736-ea02f8f1b23b,6bab437e-d9c7-4a92-a427-0a134953987f,34000,2026-06-18,778,90+ Days,Customer
02aeea62-11b3-4b26-8715-8237156a1885,71be3019-2872-4e46-9e8f-941663554ca2,5aa13181-ee5e-434e-8155-826caa984a9f,268500,2026-06-18,105,90+ Days,Customer
f77193dc-7fcc-4995-8a0a-d025fbd94f8e,2df9cb4d-3931-42d6-b71e-03529a9850cb,7075111b-90e2-4922-8328-60f6eafac118,2400,2026-06-18,93,90+ Days,Customer
45abdb55-cd84-49cf-9571-2e9782dc2bc8,71be3019-2872-4e46-9e8f-941663554ca2,8d60cf88-793a-495f-83fa-96192c3a4ac7,282820,2026-06-18,73,61-90 Days,Customer
e0902f30-7740-4c5e-8d59-6f9d479549bb,71be3019-2872-4e46-9e8f-941663554ca2,9f3cde11-6b1c-4f33-bbf0-d9efbe9daefa,765375,2026-06-18,188,90+ Days,Customer
68759912-ae08-40fc-9143-3b4ab19d6853,1e8b0fdf-a882-4a38-bf4a-36f1d58a0898,1642642a-d008-43da-8cc9-4109c0ec3f89,259200,2026-06-18,111,90+ Days,Customer
cec0966d-26c1-4c1a-929b-ec82d75a5e14,71be3019-2872-4e46-9e8f-941663554ca2,0e1bb7aa-c26c-4944-ae88-363f32efc8c8,457345,2026-06-18,105,90+ Days,Customer
b2e0763a-99e1-48eb-944d-d2d7a7fdc3ae,71be3019-2872-4e46-9e8f-941663554ca2,83143d46-1a14-47bf-b76c-41906a30b07d,179000,2026-06-18,73,61-90 Days,Customer
2d6d6ae0-aecd-40d1-a250-3b9b462f4811,ec31354d-a2f1-4014-9b0b-848354b1844d,e8769730-27b5-4d07-813f-5aa38b75faf4,769400,2026-06-18,210,90+ Days,Customer
b9bd41f3-886c-4744-8d64-2c598ab62222,71be3019-2872-4e46-9e8f-941663554ca2,ec057794-cae0-41a2-be1f-eb852b8edaeb,178600,2026-06-18,59,46-60 Days,Customer
a59240d8-37d3-4689-a511-cabdac3b0b19,46259c13-632d-449f-a96f-f1deab0e0046,175afaf5-14e9-41c3-b1ef-79e97328d15d,495000,2026-06-18,93,90+ Days,Customer
2fcfab44-260e-4f22-85bf-f1031782511a,c6e017b2-c27d-4969-95de-8284a705a232,c7daafb5-3d34-4ba5-bb8c-47d864dea96d,429000,2026-06-18,73,61-90 Days,Customer
4c191654-e517-4ef3-ba76-cb4ca645a97d,242b18b0-2b6e-4ef6-b311-fa29444b997b,b8b3134f-ea65-487e-ac7d-9e38fd6dd64e,768000,2026-06-18,177,90+ Days,Customer
ddf35005-01cc-467d-a03b-394a4e465396,46259c13-632d-449f-a96f-f1deab0e0046,9d6b7d12-4cbd-4767-9dbe-91af63dc7c2b,269600,2026-06-18,93,90+ Days,Customer
39b7dfc0-e64c-4309-90e0-b288ec60bd86,add3d1ff-35de-4335-a95b-9db45afafaaa,3a266c34-9bfb-4f0f-9018-dfc789deb857,453500,2026-06-18,59,46-60 Days,Customer
32f89e94-b1f2-4646-8f29-a8447ea46209,628bcaf4-621f-4082-9aff-5ac50eb5f547,6e7fa843-f7cd-43ef-ba5b-fdbb4ba68111,277450,2026-06-18,146,90+ Days,Customer
9525c716-56d6-414d-a395-fdd9897ceb58,add3d1ff-35de-4335-a95b-9db45afafaaa,fb9acb1e-4918-4230-9e9e-33c3747c5cac,548150,2026-06-18,52,46-60 Days,Customer
d90ddba0-7bf0-493b-a8e1-682566e226ae,4b5902bf-67f1-4e06-8882-ca516c1842db,642af90e-affb-4f50-b812-0d2e83a57ef7,404000,2026-06-18,73,61-90 Days,Customer
8840470b-68e4-4e5a-becf-c7410093c210,71be3019-2872-4e46-9e8f-941663554ca2,b5d85a57-ea35-47d3-8d2f-50895b4594a1,687150,2026-06-18,364,90+ Days,Customer
