id,code,name,type,created_at,modified_at,modified_by
f5aca8b6-1060-451c-af4a-2a639632ee4d,50000,Cost of Raw Materials Consumed,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
65827775-d68c-4a74-8210-58ac3ac7a13c,50100,Direct Labor (Factory Wages),Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
dc46f1e8-ee16-4dcc-9b42-2e7c3ebd433f,50200,Factory Rent & Utilities,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
242a0b3f-ca9d-43b7-9f2f-5833dc30c636,50300,Repair & Maintenance - Plant,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
e69248a7-32f0-45d7-8f8c-6b01099aed8e,50400,Freight Inward (Cartage),Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
71a974ac-d220-4663-9bb7-0eac47321513,50500,Packing Material Consumed,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
35cf7967-0dfe-4e97-bc9d-5113fb168f15,50600,Factory Depreciation Expense,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
8b37a59b-42d9-4876-9bfc-f10fe8e120aa,60000,Freight Outward,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
33084a92-2e4d-4dc3-b214-f71f12987be8,60100,Sales Commission Expense,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
a79ac221-1e84-4628-b833-c5c15159c355,60200,Marketing & Advertisement,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
c5f08eb7-99fc-47a7-80f0-403690eb2466,61000,Management Salaries,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
86e8b67f-4327-4586-b357-15ece875160c,61100,Office Rent,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
391d2920-2bdf-498c-b6eb-441ee0b5beb4,61200,Utilities - Office,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
594b788e-6d26-4264-a6f5-799b47df84ee,61400,Legal & Professional Fees,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
17805d04-1fb9-4a43-a4d9-db4e81a7bc51,61600,Bank Charges,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
cc5a7d2d-c241-4b38-b318-89d0334b1caa,62000,Bad Debt Expense,Expense,2026-02-26 08:46:36.45317+00,2026-02-26 08:46:36.45317+00,
