id,name,type,category_id,cost,sales_price,created_at,modified_at,can_be_sold,can_be_purchased,uom,barcode,internal_notes,weight,volume,is_active,modified_by,description,image_url,deleted_at
07723aa8-9f8f-41ca-b623-c486bb145c1f,Premium Bran,Storable Product,295f908a-578c-44c0-baba-4afe79197445,2.4349785660244168,2.1193771626297577,2026-02-10 13:01:29.880385+00,2026-05-08 07:27:33.23082+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
10d5d88b-c74f-4e99-8435-ee1690d6c047,Al-Qamar Atta(Green),Storable Product,3ea27337-21f3-43f6-9af9-4dc236cdfe86,2.102781312092977,4.45,2026-02-10 12:58:20.272946+00,2026-04-25 05:38:06.066914+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
618b46f4-98ba-4df7-bb7d-b07d7d1a9bb3,Bardana Al-Rehmat Atta,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,0,,2026-02-10 13:07:25.752333+00,2026-03-02 15:27:18.609275+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
8dedb270-a04f-4214-b29c-c4bc4f2f78c7,Premium Atta,Storable Product,3ea27337-21f3-43f6-9af9-4dc236cdfe86,6.19620402770347,7,2026-02-10 12:49:54.933745+00,2026-04-30 16:13:48.148508+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
a3828c3d-5e76-42a8-8a7e-cbad128433ad,Bardana Al-Qamar Atta(Green),Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,12.237195023958717,89,2026-02-10 13:08:28.141458+00,2026-04-16 09:23:56.945621+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
6ddeaf11-7c7d-4907-bdeb-dc87313c98dd,Premium Pizza Flour,Storable Product,913b6f57-4e5d-4b7d-bc3b-91339684163e,9.249131590180504,11.75,2026-02-10 13:03:14.528247+00,2026-04-30 15:53:37.22545+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
11fadc6b-27d2-4bf0-a616-a82ddf3a9742,Refraction (Mamni),Storable Product,4710869a-ebbd-4af8-8c4a-ade7905d3baa,0,60,2026-03-01 02:10:35.436887+00,2026-05-02 13:46:55.10453+00,t,f,Kilogram,"","",0,0,t,04249cb9-eebf-426b-a9a4-e42aa57d2ee7,,,
5e0fb7c3-0585-4fd8-8b17-d7ac30c731af,Refraction (Ghundi),Storable Product,4710869a-ebbd-4af8-8c4a-ade7905d3baa,0,5,2026-03-01 02:06:41.109781+00,2026-05-01 06:00:19.141706+00,t,f,Kilogram,"","",0,0,t,04249cb9-eebf-426b-a9a4-e42aa57d2ee7,,,
f44d95fe-73b2-4163-b5f1-c63305ee8b44,Al-Rehmat Atta,Storable Product,3ea27337-21f3-43f6-9af9-4dc236cdfe86,6.119104917767101,7,2026-02-10 12:50:56.5269+00,2026-04-10 12:44:39.148936+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
38174f51-c225-4f30-b257-fb55cbbd5424,Refraction (Khapra Matti),Storable Product,4710869a-ebbd-4af8-8c4a-ade7905d3baa,0,1.2732,2026-03-01 02:11:50.34783+00,2026-05-01 06:00:19.153358+00,t,f,Kilogram,"","",0,0,t,04249cb9-eebf-426b-a9a4-e42aa57d2ee7,,,
6b066808-0836-4fd1-a27b-2ba8bd315674,Packaging Thread,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,500,,2026-04-30 08:43:02.358187+00,2026-05-02 06:10:56.348394+00,f,t,Kilogram,"","",0,0,t,04249cb9-eebf-426b-a9a4-e42aa57d2ee7,,,
15a706d5-599d-4224-9ac4-f91809e18f25,Wheat Bardana,Storable Product,43db497a-0b1a-44eb-85de-3d82a1f054df,0,3780,2026-02-27 07:02:33.123976+00,2026-05-08 06:43:48.754162+00,t,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
e7c36973-a89b-4a54-bb0c-a5164bcfb8d1,Al-Qamar Atta(Silver),Storable Product,3ea27337-21f3-43f6-9af9-4dc236cdfe86,2.923469445814599,6.533333333333333,2026-02-10 15:09:00.994114+00,2026-04-17 11:57:23.244209+00,t,f,Kilogram,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
fb688ad7-dd32-4bc9-845f-2bde018910cb,Bardana Premium Atta,Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,0,105,2026-02-10 13:06:26.810158+00,2026-04-30 15:06:58.506893+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
4efa9322-640e-4061-9b01-d0871de21139,Bardana Al-Qamar Atta(Silver),Storable Product,a916c862-b99d-4233-a20f-7faa25b15099,20.1,,2026-02-10 13:10:57.034812+00,2026-04-09 12:23:21.064988+00,f,t,Unit,"","",0,0,t,136696c3-7e71-4148-802d-3fd9404846ac,,,
